360094	Xanthomonas oryzae pv. oryzae PXO99A	347	Xanthomonas oryzae
1114957	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028s Wu	28901	Salmonella enterica
393132	Listeria monocytogenes LO28	1639	Listeria monocytogenes
1496	Peptoclostridium difficile	1496	Peptoclostridium difficile
1396	Bacillus cereus	1396	Bacillus cereus
5037	Histoplasma capsulatum	5037	Histoplasma capsulatum
76659	Pyrenopeziza brassicae	76659	Pyrenopeziza brassicae
243277	Vibrio cholerae O1 biovar El Tor str. N16961	666	Vibrio cholerae
135859	Alternaria citri	135859	Alternaria citri
336722	Zymoseptoria tritici IPO323	1047171	Zymoseptoria tritici
1310173	Brucella abortus 2038	235	Brucella abortus
413071	Trichoderma virens Gv29-8	29875	Trichoderma virens
5514	Fusarium sporotrichioides	5514	Fusarium sporotrichioides
59510	Pseudomonas syringae pv. pisi	317	Pseudomonas syringae
1235829	Streptococcus pyogenes A20	1314	Streptococcus pyogenes
287	Pseudomonas aeruginosa	287	Pseudomonas aeruginosa
5261	Melampsora lini	5261	Melampsora lini
45130	Bipolaris sorokiniana	45130	Bipolaris sorokiniana
5476	Candida albicans	5476	Candida albicans
218491	Pectobacterium atrosepticum SCRI1043	29471	Pectobacterium atrosepticum
218494	Streptococcus suis P1/7	1307	Streptococcus suis
1773	Mycobacterium tuberculosis	1773	Mycobacterium tuberculosis
5811	Toxoplasma gondii	5811	Toxoplasma gondii
1307	Streptococcus suis	1307	Streptococcus suis
216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	Salmonella enterica
5480	Candida parapsilosis	5480	Candida parapsilosis
391295	Streptococcus suis 05ZYH33	1307	Streptococcus suis
53485	Pyrenophora teres	53485	Pyrenophora teres
5127	Fusarium fujikuroi	5127	Fusarium fujikuroi
5270	Ustilago maydis	5270	Ustilago maydis
197	Campylobacter jejuni	197	Campylobacter jejuni
36090	Globodera pallida	36090	Globodera pallida
693985	Pseudomonas savastanoi pv. savastanoi NCPPB 3335	29438	Pseudomonas savastanoi
31870	Colletotrichum graminicola	31870	Colletotrichum graminicola
340	Xanthomonas campestris pv. campestris	339	Xanthomonas campestris
5059	Aspergillus flavus	5059	Aspergillus flavus
