Pathogen Taxon ID	Pathogen Taxon Name	Pathogen Species Taxon ID	Pathogen Species Name	PubMed IDs
5477	Candida boidinii	5477	Candida boidinii	10809683
498217	Edwardsiella tarda EIB202	636	Edwardsiella tarda	23024793;24793099
147375	Paenibacillus larvae subsp. larvae	1464	Paenibacillus larvae	25080221
671987	Setosphaeria turcica Et28A	93612	Setosphaeria turcica	23384859
1306	Streptococcus sp.	1306	Streptococcus sp.	23443671
5833	Plasmodium falciparum	5833	Plasmodium falciparum	25032958
665079	Sclerotinia sclerotiorum 1980 UF-70	5180	Sclerotinia sclerotiorum	22046959
655863	Grosmannia clavigera kw1407	226899	Grosmannia clavigera	23252416
169963	Listeria monocytogenes EGD-e	1639	Listeria monocytogenes	25051038;23166492;16102006
153609	Moniliophthora perniciosa	153609	Moniliophthora perniciosa	18796332
330879	Aspergillus fumigatus Af293	746128	Aspergillus fumigatus	2382566;20675576;19564385;18456861;23185496;16759234
562	Escherichia coli	562	Escherichia coli	23049900;24970366
229533	Fusarium graminearum PH-1	5518	Fusarium graminearum	17555271;15842622;22649560;15811992;22693618;16751498;16377218;12423017;24450772;22216007;20447276;18926918;16278459;16517624;15986923;18339563;19028992;21138346;10931910;17302802;17056706;22693448;12730371;18227243;25040476;17253976;9274012;16262793;21722294;18083828;8589414;22713714;15378266;23442154;12695848;25144230
64187	Xanthomonas oryzae pv. oryzae	347	Xanthomonas oryzae	22257308;20128700;23078195;21355995
634503	Edwardsiella ictaluri 93-146	67780	Edwardsiella ictaluri	23762452
1189622	Pseudomonas syringae pv. tabaci str. 6605	47877	Pseudomonas amygdali	22353307;23145783
85962	Helicobacter pylori 26695	210	Helicobacter pylori	25132107
314565	Xanthomonas campestris pv. campestris str. 8004	339	Xanthomonas campestris	24970366;19019010;23252460
272563	Peptoclostridium difficile 630	1496	Peptoclostridium difficile	25135277
66271	Pantoea stewartii subsp. stewartii	66269	Pantoea stewartii	12650455
992166	Yersinia pestis PY-66	632	Yersinia pestis	23633954
1266464	Aspergillus fumigatus CEA17	746128	Aspergillus fumigatus	24946720
38448	Monilinia fructicola	38448	Monilinia fructicola	20064061;14660360
559515	Hyaloperonospora arabidopsidis Emoy2	272952	Hyaloperonospora arabidopsidis	18198274;18165328;23734779
373	Agrobacterium vitis	373	Agrobacterium vitis	22212449;23581823
1214186	Streptococcus suis YS10	1307	Streptococcus suis	25161959
