4236	Lactuca sativa	none	Dicot
62615	Stylosanthes guianensis	none	Dicot
7955	Danio rerio	zebrafish	n\a
4564	Triticum	none	Monocot
4081	Solanum lycopersicum	tomato	Dicot
4558	Sorghum bicolor	sorghum	Monocot
4043	Petroselinum crispum	parsley	Dicot
85549	Artemia salina	none	n\a
3350	Pinus thunbergii	Japanese black pine	n\a
112509	Hordeum vulgare subsp. vulgare	domesticated barley	Monocot
36596	Prunus armeniaca	apricot	Dicot
35627	Stylosanthes	none	Dicot
44689	Dictyostelium discoideum	none	n\a
7998	Ictalurus punctatus	channel catfish	n\a
4006	Linum usitatissimum	flax	Dicot
8022	Oncorhynchus mykiss	rainbow trout	n\a
4521	Lolium multiflorum	Italian ryegrass	Monocot
3435	Persea americana	avocado	n\a
7227	Drosophila melanogaster	fruit fly	n\a
3603	Vitis	none	Dicot
60419	Castanea mollissima	Chinese chestnut	Dicot
4072	Capsicum annuum	none	Dicot
106564	Malus prunifolia	none	Dicot
42229	Prunus avium	sweet cherry	Dicot
3726	Raphanus sativus	radish	Dicot
3888	Pisum sativum	pea	Dicot
4097	Nicotiana tabacum	common tobacco	Dicot
5774	Amoeba	none	n\a
4146	Olea europaea	common olive	Dicot
3879	Medicago sativa	none	Dicot
3635	Gossypium hirsutum	upland cotton	Dicot
3716	Brassica oleracea var. capitata	cabbage	Dicot
4073	Capsicum frutescens	none	Dicot
3755	Prunus dulcis	almond	Dicot
8019	Oncorhynchus kisutch	coho salmon	n\a
9031	Gallus gallus	chicken	n\a
4565	Triticum aestivum	bread wheat	Monocot
23211	Pyrus communis	pear	Dicot
4577	Zea mays	none	Monocot
41679	Raphanus sativus var. niger	Chinese radish	Dicot
6239	Caenorhabditis elegans	none	n\a
39291	Athelia rolfsii	none	n\a
52824	Brassica carinata	none	Dicot
9823	Sus scrofa	pig	n\a
4113	Solanum tuberosum	potato	Dicot
7091	Bombyx mori	domestic silkworm	n\a
13546	Gerbera	none	Dicot
260674	Citrullus lanatus subsp. vulgaris	watermelon	Dicot
3702	Arabidopsis thaliana	thale cress	Dicot
3650	Cucurbitaceae	none	Dicot
3712	Brassica oleracea	none	Dicot
3847	Glycine max	soybean	Dicot
4550	Secale cereale	rye	Monocot
134033	Castanea dentata	American chestnut	Dicot
10114	Rattus	none	n\a
7460	Apis mellifera	honey bee	n\a
108276	Aeschynomene virginica	none	Dicot
4530	Oryza sativa	rice	Monocot
4688	Lilium	none	Monocot
3661	Cucurbita maxima	winter squash	Dicot
9986	Oryctolagus cuniculus	rabbit	n\a
4498	Avena sativa	oat	Monocot
59895	Cynara cardunculus var. scolymus	none	Dicot
39473	Cucumis anguria	gherkin	Dicot
3339	Pinus contorta	lodgepole pine	n\a
3659	Cucumis sativus	cucumber	Dicot
7067	Tenebrio molitor	yellow mealworm	n\a
29159	Crassostrea gigas	Pacific oyster	n\a
9606	Homo sapiens	human	n\a
4522	Lolium perenne	none	Monocot
3760	Prunus persica	peach	Dicot
7137	Galleria mellonella	greater wax moth	n\a
3750	Malus domestica	apple	Dicot
3747	Fragaria x ananassa	strawberry	Dicot
3708	Brassica napus	rape	Dicot
2708	Citrus limon	none	Dicot
3570	Dianthus caryophyllus	clove pink	Dicot
27482	Aphididae	aphids	n\a
4679	Allium cepa	onion	Monocot
323851	Prunus persica var. nucipersica	none	Dicot
3662	Cucurbita moschata	crookneck pumpkin	Dicot
3764	Rosa	none	Dicot
4082	Solanum peruvianum	none	Dicot
4111	Solanum melongena	eggplant	Dicot
2711	Citrus sinensis	sweet orange	Dicot
10090	Mus musculus	house mouse	n\a
38448	Monilinia fructicola	none	n\a
64884	Citrus jambhiri	rough lemon	Dicot
107832	Thanatephorus cucumeris	none	n\a
685034	Dysdercus peruvianus	none	n\a
4513	Hordeum vulgare	none	Monocot
3656	Cucumis melo	muskmelon	Dicot
38414	Eragrostis curvula	weeping love grass	Monocot
164113	Citrus x microcarpa	calamondin	Dicot
79217	Citrus iyo	none	Dicot
37656	Citrus x paradisi	none	Dicot
3641	Theobroma cacao	cacao	Dicot
9913	Bos taurus	cattle	n\a
3885	Phaseolus vulgaris	none	Dicot
7116	Pieris brassicae	large cabbage white	n\a
10141	Cavia porcellus	domestic guinea pig	n\a
112514	Hordeum patagonicum subsp. magellanicum	none	Monocot
3983	Manihot esculenta	cassava	Dicot
5341	Agaricus bisporus	none	n\a
51655	Plutella xylostella	diamondback moth	n\a
4100	Nicotiana benthamiana	none	Dicot
8839	Anas platyrhynchos	mallard	n\a
381124	Zea mays subsp. mays	maize	Monocot
3818	Arachis hypogaea	peanut	Dicot
4039	Daucus carota	carrot	Dicot
117781	Apium graveolens Dulce Group	none	Dicot
3707	Brassica juncea	none	Dicot
55188	Citrus unshiu	none	Dicot
29760	Vitis vinifera	wine grape	Dicot
