PHI:I767	PHI:736	GO:0009405
PHI:I767	PHI:736	GO:0044409
PHI:I768	PHI:736	GO:0009405
PHI:I768	PHI:736	# GO:0044409
PHI:I769	PHI:736	GO:0009405
PHI:I769	PHI:736	GO:0044409
PHI:I770	PHI:736	GO:0009405
PHI:I770	PHI:736	GO:0044409
PHI:I771	PHI:737	GO:0009405
PHI:I825	PHI:822	GO:0006066
PHI:I825	PHI:822	GO:0006118
PHI:I825	PHI:822	GO:0000104
PHI:I826	PHI:823	GO:0005874
PHI:I856	PHI:862	GO:0044409
PHI:I1009	PHI:1021	GO:0005634
PHI:I1009	PHI:1021	GO:0003700
PHI:I1009	PHI:1021	GO:0008270
PHI:I1009	PHI:1021	GO:0006355
PHI:I1011	PHI:1023	GO:0009405
PHI:I1011	PHI:1023	GO:0044412
PHI:I1012	PHI:1023	GO:0009405
PHI:I1012	PHI:1023	GO:0044412
PHI:I1012	PHI:1023	GO:0044409
PHI:I1013	PHI:1024	GO:0009405
PHI:I1013	PHI:1024	GO:0044409
PHI:I1014	PHI:1025	GO:0009405
PHI:I1014	PHI:1025	GO:0044412
PHI:I1014	PHI:1025	GO:0044409
PHI:I1087	PHI:1101	GO:0009405
PHI:I1088	PHI:1101	GO:0009405
PHI:I1089	PHI:1103	GO:0009405
PHI:I1090	PHI:1103	GO:0009405
PHI:I1091	PHI:1105	GO:0009405
PHI:I1092	PHI:1105	GO:0009405
PHI:I1093	PHI:1107	GO:0009405
PHI:I1094	PHI:1108	GO:0009405
PHI:I1095	PHI:1109	GO:0009405
PHI:I1096	PHI:1110	GO:0009405
PHI:I1097	PHI:1111	GO:0009405
PHI:I1099	PHI:1113	GO:0009405
PHI:I1100	PHI:1114	GO:0009405
PHI:I1102	PHI:1116	GO:0009405
PHI:I1103	PHI:1117	GO:0009405
PHI:I1104	PHI:1118	GO:0009405
PHI:I1105	PHI:1119	GO:0009405
PHI:I1149	PHI:1168	GO:0044412
PHI:I1149	PHI:1168	GO:0045482
PHI:I1150	PHI:1169	GO:0044412
PHI:I1150	PHI:1169	GO:0045483
PHI:I1151	PHI:1170	GO:0044412
PHI:I1151	PHI:1170	GO:0045484
PHI:I1152	PHI:1171	GO:0044412
PHI:I1152	PHI:1171	GO:0045485
PHI:I1153	PHI:1172	GO:0044412
PHI:I1153	PHI:1172	GO:0045486
PHI:I1154	PHI:1173	GO:0044412
PHI:I1154	PHI:1173	GO:0045487
PHI:I1155	PHI:1174	GO:0044412
PHI:I1155	PHI:1174	GO:0045488
PHI:I2327	PHI:2203	GO:0042438
PHI:I2327	PHI:2203	GO:0006355
PHI:I3464	PHI:2882	T
