Pathogen Taxonomy NCBI Identifier	Pathogen Lifestyle	Host Kingdom	Natural Host Type	No of plant hosts	No of host interactions USDA Fungal database	No of host interactions Plantwise Knowledge Bank
120017	Obligate Biotroph 	plant	Cereal Monocot	Many	115	
5270	Biotroph 	plant	Cereal Monocot	A few	17	
272952	Obligate Biotroph 	plant	Dicot	A few	5	
123356	Obligate Biotroph 	plant	Dicot	Vast	330	
29920	Necrotroph	plant	Cereal Monocot - Non Cereal Monocot - Dicot 	Vast	420	
4784	Hemibiotroph	plant	Dicot, Dicot-Tree,  Non Cereal Monocot	Many	84	
4787	Hemibiotroph	plant	Dicot	Vast	134	
4792	Hemibiotroph	plant	Dicot, Dicot-Tree,  Non Cereal Monocot	Vast	897	
67593	Hemibiotroph	plant	Non Cereal Monocot - Dicot 	Many	49	
65070	Necrotroph	plant	Cereal Monocot  - Non Cereal Monocot - Dicot 	Vast	285	
36090	Obligate Biotroph 	plant	Dicot	Many	none	23
13131	Phloem feeding insect	plant	Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Many	none	35
6303	Obligate Biotroph 	plant	Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Vast	none	102
13164	Phloem feeding insect	plant	Dicot, Dicot -Tree,  Cereal  Monocot, Non Cereal monocot	Vast 	none	115
29875		fungus	Fungi, Dicot, Dicot - Trees	A few	12	
93591		fungus	Fungi	One	1	
93591		fungus			none	
746128		animal				
162425		animal				
176275		animal				
5039		animal				
5476		animal				
5478		animal				
36911		animal				
5480		animal				
5482		animal				
5501		animal				
199306		animal				
5970		animal				
5037		animal				
5530		animal				
568076		animal				
4932		animal				
5551		animal				
37769		animal				
292817		animal				
5207		animal				
178876		animal				
5671		animal				
5665		animal				
5811		animal				
5691		animal				
5693		animal				
