NAR  Supplementary Table S1 								
PHI-base Version 3.6 contents  								
TOTAL -  160 species  (those in bold text are also found in the PhytoPath ENSEMBL genomes database) 							1 - USDA Fungal database (http://nt.ars-grin.gov/fungaldatabases)	
							2 - Plantwise Knowledge Bank (http://www.plantwise.org/KnowledgeBank)	
Taxonomy / NCBI identifier	Pathogen species name(s)	Host species type(s) in PHI-base	Lifestyle  Abbr: HST - Host selective toxin (metabolite),  PHST - proteinaceous host selective toxin	Obligate biotroph	Host species types (natural)	No of plant hosts; Vast  - well over 100 host species, Many -  up to 100 host species, A few - up to 20 host species, One - a single host species  [Information taken from USDA Fungal database and Plantwise Knowledge Bank)	No of different host interactions recorded in the the USDA Fungal database	No of different host interactions recorded in the the Plantwise Knowledge Bank
278938	Botrytis elliptica	Monocot	Hemibiotroph -necrotroph		Non Cereal Monocot	Many	37	
84275	Cercospora kikuchii	Dicot	Necrotroph -HST		Dicot	A few	14	
29003	Cercospora nicotianae	Dicot	Necrotroph -HST		Dicot	A few	6	
135779	Cercospora zeae-maydis	Monocot	Necrotroph -HST		Cereal Monocot	A few	4	
5499	Cladosporium fulvum	Dicot	Biotroph 		Dicot	Many	34	
5111	Claviceps purpurea	Monocot	Biotroph 		Cereal Monocot	Vast	515	
5017	Cochliobolus carbonum	Monocot	Necrotroph -HST		Cereal Monocot	Many	40	
5016	Cochliobolus heterostrophus	Monocot	Necrotroph -HST		Cereal Monocot   and Dicot	Many	101	
101162	Cochliobolus miyabeanus	Monocot	Necrotroph 		Cereal Monocot   and Dicot	Many	33	
45130	Cochliobolus sativus	Monocot	Hemibiotroph 		Cereal Monocot  	Vast	374	
40125	Cochliobolus victoriae	Monocot	Necrotroph -HST		Cereal Monocot   and Dicot	Many	40	
27357	Colletotrichum acutatum (related: Glomerella acutata)	Dicot	Hemibiotroph -necrotroph		Dicot - Dicot Trees 	Vast 	178	
27358	Colletotrichum coccodes	Dicot	Hemibiotroph -necrotroph		Dicot and Cereal Monocot	Many	59	
5457	Colletotrichum gloeosporioides (related: Glomerella cingulata)	Dicot	Hemibiotroph -necrotroph		Non Cereal Monocot - Dicot (D)	Vast	1911	
31870	Colletotrichum graminicola (related: Glomerella graminicola)	Monocot	Hemibiotroph		Cereal Monocot   and Dicot	Vast	342	
5462	Colletotrichum lagenarium 	Dicot	Hemibiotroph		Dicot	Many	100	
290576	Colletotrichum lindemuthianum (related:  Glomerella lindemuthiana)	Dicot	Hemibiotroph		Cereal Monocot - Non Cereal Monocot - Dicot 	Many 	61	
5465	Colletotrichum orbiculare	Dicot	Hemibiotroph		Dicot 	Vast	101	
5466	Colletotrichum trifolii	Dicot	Hemibiotroph		Dicot	Many	37	
35717	Epichloe festucae	Monocot	Endophyte		Cereal Monocot 	A few 	3	
5516	Fusarium culmorum	Monocot	Hemibiotroph -necrotroph		Cereal Monocot   and Dicot	Vast	136	
5518	Fusarium graminearum  (related: Gibberella zeae)	Monocot / Dicot	Hemibiotroph -necrotroph		Cereal Monocot  - Non Cereal Monocot - Dicot 	Vast	216	
5507	Fusarium oxysporum 	Dicot	Necrotroph		Cereal Monocot  - Non Cereal Monocot - Dicot 	Vast	707	
59765	Fusarium oxysporum f.sp. lycopersici	Dicot / Animal 	Necrotroph				no entry	
61369	Fusarium oxysporum f.sp. melonis	Dicot	Necrotroph				no entry	
101028	Fusarium pseudograminearum	Monocot	Necrotroph		Cereal Monocot  	Many	22	
169388	Fusarium solani	Dicot	Necrotroph		Dicot - Dicot Trees, Cereal Monocot  - Non Cereal Monocot 	Vast	516	
70790	Fusarium solani f. sp. cucurbitae	Dicot	Necrotroph		Dicots	A few 	10	
5514	Fusarium sporotrichioides	Monocot	Necrotroph		Cereal Monocot   and Dicot	Many 	66	
