PHI:3	Entrez Protein	AAA79885
PHI:7	Entrez Protein	CAA42824
PHI:12	Entrez Protein	AAA33023
PHI:14	Entrez Protein	AAB09711
PHI:14	Entrez Protein	AAB09711
PHI:15	Entrez Protein	AAA20128
PHI:17	Entrez Protein	CAA43678
PHI:18	Entrez Protein	CAA69643
PHI:19	Entrez Protein	AAA17547
PHI:22	Entrez Protein	AAA57469
PHI:24	Entrez Protein	AAB09777
PHI:24	Entrez Protein	AAB09777
PHI:25	Entrez Protein	CAJ29326
PHI:26	Entrez Protein	CAA37820
PHI:27	Entrez Protein	AAA77678
PHI:27	Entrez Protein	AAA77678
PHI:31	Entrez Protein	BAA02707
PHI:33	Entrez Protein	AAA68196
PHI:35	Entrez Protein	AAB69694
PHI:36	Entrez Protein	AAA93199
PHI:37	Entrez Protein	AAC37439
PHI:38	Entrez Protein	AAA86496
PHI:39	Entrez Protein	AAS60096
PHI:40	Entrez Protein	BAA18956
PHI:41	Entrez Protein	AAA80239
PHI:42	Entrez Protein	AAA91019
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:44	Entrez Protein	AAM90953
PHI:47	Entrez Protein	AAB06581
PHI:48	NULL	BAD91825   
PHI:48	NULL	BAD91825   
PHI:48	NULL	BAD91825   
PHI:49	Entrez Protein	AAA67706
PHI:52	Entrez Protein	AAB03415
PHI:52	Entrez Protein	AAB03415
PHI:53	Entrez Protein	AAP19639
PHI:55	Entrez Protein	AAB08104
PHI:56	Entrez Protein	AAC49521
PHI:57	Entrez Protein	AAC32736
PHI:58	Entrez Protein	BAA13009
PHI:59	Entrez Protein	BAA18962
PHI:60	Entrez Protein	AAB36607
PHI:61	Entrez Protein	AAA21151
PHI:62	Entrez Protein	AAB81286
PHI:65	Entrez Protein	AAC49838
PHI:66	Entrez Protein	AAC05307
PHI:67	Entrez Protein	CAA54129
PHI:68	Entrez Protein	AAA34368
PHI:68	Entrez Protein	AAA34368
PHI:69	Entrez Protein	CAA93255
PHI:69	Entrez Protein	CAA93255
PHI:69	Entrez Protein	CAA93255
PHI:69	Entrez Protein	CAA93255
PHI:69	Entrez Protein	CAA93255
PHI:69	Entrez Protein	CAA93255
PHI:70	Entrez Protein	CAA78400
PHI:71	Entrez Protein	CAA78401
PHI:71	Entrez Protein	CAA78401
PHI:72	Entrez Protein	AAM21050
PHI:72	Entrez Protein	AAM21050
PHI:73	Entrez Protein	AAA34372
PHI:73	Entrez Protein	AAA34372
PHI:75	Entrez Protein	AAD46575
PHI:75	Entrez Protein	AAD46575
PHI:75	Entrez Protein	AAD46575
PHI:76	Entrez Protein	AAC49724
PHI:77	Entrez Protein	AAC49725
PHI:78	Entrez Protein	AAC49726
PHI:79	Entrez Protein	AAC49727
PHI:80	Entrez Protein	AAB39507
PHI:81	Entrez Protein	AAB66482
PHI:82	Entrez Protein	AAB65425
PHI:83	Entrez Protein	AAB65426
PHI:84	Entrez Protein	AAB65427
PHI:85	Entrez Protein	AAB68613
PHI:86	Entrez Protein	AAA64692
PHI:87	Entrez Protein	CAA83640
PHI:87	Entrez Protein	CAA83640
PHI:88	Entrez Protein	AAA85279
PHI:89	Entrez Protein	AAB97372
PHI:95	Entrez Protein	AAB66368
PHI:96	Entrez Protein	AAA34345
PHI:97	Entrez Protein	AAC62818
PHI:98	Entrez Protein	AAB84284
PHI:99	Entrez Protein	BAC41196
PHI:100	Entrez Protein	AAA75366
PHI:101	Entrez Protein	AAC39471
PHI:103	Entrez Protein	AAC64374
PHI:103	Entrez Protein	AAC64374
PHI:103	Entrez Protein	AAC64374
PHI:104	Entrez Protein	CAA67930
PHI:104	Entrez Protein	CAA67930
PHI:105	Entrez Protein	AAC61890
PHI:106	Entrez Protein	AAC39448
PHI:107	Entrez Protein	EAK96519
PHI:109	Entrez Protein	AAB61403
PHI:111	Entrez Protein	AAB49807
PHI:112	Entrez Protein	AAC49410
PHI:113	Entrez Protein	AAC63682
PHI:114	Entrez Protein	AAC05015
PHI:115	Entrez Protein	AAC26146
PHI:116	Entrez Protein	CAA76740
PHI:120	Entrez Protein	AAB88887
PHI:121	Entrez Protein	AAB88888
PHI:122	Entrez Protein	AAB88886
PHI:123	Entrez Protein	AAB88889
PHI:124	Entrez Protein	AAA96019
PHI:125	Entrez Protein	AAA17877
PHI:125	Entrez Protein	AAA17877
PHI:126	Entrez Protein	CAA82923
PHI:126	Entrez Protein	CAA82923
PHI:127	Entrez Protein	CAA82924
PHI:127	Entrez Protein	CAA82924
PHI:128	Entrez Protein	AAC34140
PHI:129	Entrez Protein	AAC39450
PHI:130	Entrez Protein	CAA69223
PHI:131	Entrez Protein	AAD12756
PHI:132	Entrez Protein	AAB86640
PHI:133	Entrez Protein	BAA36588
PHI:134	Entrez Protein	BAA36589
PHI:135	Entrez Protein	AAA91036
PHI:136	Entrez Protein	AAC39451
PHI:136	Entrez Protein	AAC39451
PHI:136	Entrez Protein	AAC39451
PHI:136	Entrez Protein	AAC39451
PHI:138	Entrez Protein	BAA24952
PHI:139	Entrez Protein	BAC76819
PHI:140	Entrez Protein	BAA24951
PHI:141	Entrez Protein	AAC78076
PHI:142	Entrez Protein	AAF05913
PHI:143	Entrez Protein	AAA33353
PHI:144	Entrez Protein	AAC05829
PHI:146	Entrez Protein	AAC04355
PHI:149	Entrez Protein	CAA62214
PHI:151	Entrez Protein	AAF15528
PHI:153	Entrez Protein	AAF09475
PHI:156	Entrez Protein	AAD44111
PHI:156	Entrez Protein	AAD44111
PHI:157	Entrez Protein	AAD45321
PHI:158	Entrez Protein	AAC09291
PHI:159	Entrez Protein	AAC62627
PHI:160	NULL	AAF01762 
PHI:161	Entrez Protein	AAG23132
PHI:161	Entrez Protein	AAG23132
PHI:161	Entrez Protein	AAG23132
PHI:162	Entrez Protein	AAF69680
PHI:163	Entrez Protein	AAC39354
PHI:164	Entrez Protein	AAB92221
PHI:165	Entrez Protein	AAD55385
PHI:166	Entrez Protein	AAD53262
PHI:166	Entrez Protein	AAD53262
PHI:167	Entrez Protein	AAF00024
PHI:167	Entrez Protein	AAF00024
PHI:169	Entrez Protein	AAG25917
PHI:170	Entrez Protein	AAD50496
PHI:172	Entrez Protein	AAD25159
PHI:173	Entrez Protein	AAC03782
PHI:174	Entrez Protein	BAA36496
PHI:175	Entrez Protein	AAC96368
PHI:176	Entrez Protein	AAF24760
PHI:177	Entrez Protein	CAB56523
PHI:178	Entrez Protein	AAD31929
PHI:179	Entrez Protein	AAA33338
PHI:180	Entrez Protein	AAC49420
PHI:181	Entrez Protein	AAK81847
PHI:182	Entrez Protein	AAD55937
PHI:182	Entrez Protein	AAD55937
PHI:182	Entrez Protein	AAD55937
PHI:182	Entrez Protein	AAD55937
PHI:183	Entrez Protein	AAG09787
PHI:183	Entrez Protein	AAG09787
PHI:184	Entrez Protein	AAG09789
PHI:184	Entrez Protein	AAG09789
PHI:185	Entrez Protein	AAD51714
PHI:186	Entrez Protein	AAD51715
PHI:187	Entrez Protein	AAG02418
PHI:188	Entrez Protein	AAD43341
PHI:189	Entrez Protein	AAD55813
PHI:190	Entrez Protein	EAL04411
PHI:191	Entrez Protein	AAB08446
PHI:194	Entrez Protein	AAC62257
PHI:195	Entrez Protein	CAA70254
PHI:196	Entrez Protein	AAC49755
PHI:197	Entrez Protein	AAC98913
PHI:198	Entrez Protein	AAC41649
PHI:198	Entrez Protein	AAC41649
PHI:198	Entrez Protein	AAC41649
PHI:199	Entrez Protein	AAF82788
PHI:200	Entrez Protein	BAB40769
PHI:201	Entrez Protein	AAK00131
PHI:202	Entrez Protein	CAB52402
PHI:202	Entrez Protein	CAB52402
PHI:203	Entrez Protein	CAC19871
PHI:203	Entrez Protein	CAC19871
PHI:204	Entrez Protein	AAG18428
PHI:205	Entrez Protein	CAA21947
PHI:206	Entrez Protein	BAB43821
PHI:207	Entrez Protein	BAB43813
PHI:208	Entrez Protein	BAB43816
PHI:209	Entrez Protein	AAK09366
PHI:210	Entrez Protein	AAD42978
PHI:211	Entrez Protein	AAB63195
PHI:212	Entrez Protein	AAC23929
PHI:213	Entrez Protein	AAF69795
PHI:213	Entrez Protein	AAF69795
PHI:214	Entrez Protein	AAF04335
PHI:215	Entrez Protein	AAG01162
PHI:215	Entrez Protein	AAG01162
PHI:216	Entrez Protein	AAK35180
PHI:217	Entrez Protein	EAK93243
PHI:218	NULL	AAD28749 
PHI:219	Entrez Protein	CAA64457
PHI:220	Entrez Protein	AAG10203
PHI:220	Entrez Protein	AAG10203
PHI:221	Entrez Protein	AAF04334
PHI:222	Entrez Protein	AAD09857
PHI:223	Entrez Protein	AAK11166
PHI:224	Entrez Protein	AAK11167
PHI:225	Entrez Protein	AAK16922
PHI:226	Entrez Protein	AAK16738
PHI:227	Entrez Protein	AAG30145
PHI:227	Entrez Protein	AAG30145
PHI:227	Entrez Protein	AAG30145
PHI:227	Entrez Protein	AAG30145
PHI:227	Entrez Protein	AAG30145
PHI:228	Entrez Protein	AAF65220
PHI:228	Entrez Protein	AAF65220
PHI:229	Entrez Protein	CAC22481
PHI:230	Entrez Protein	AAK52840
PHI:231	Entrez Protein	AAK31209
PHI:232	Entrez Protein	AAG49739
PHI:233	Entrez Protein	AAD13811
PHI:234	Entrez Protein	AAK49432
PHI:235	Entrez Protein	AAK81705
PHI:236	Entrez Protein	AAC34496
PHI:237	Entrez Protein	AAC35278
PHI:238	Entrez Protein	AAD31436
PHI:239	Entrez Protein	AAM02905
PHI:240	Entrez Protein	CAB77164
PHI:241	Entrez Protein	AAG60619
PHI:241	Entrez Protein	AAG60619
PHI:242	Entrez Protein	CAC17748
PHI:243	Entrez Protein	AAD00894
PHI:244	Entrez Protein	AAN62846
PHI:245	Entrez Protein	CAC47939
PHI:246	Entrez Protein	CAC87145
PHI:247	Entrez Protein	CAA71246
PHI:249	Entrez Protein	AAG13968
PHI:250	Entrez Protein	AAM88291
PHI:251	Entrez Protein	BAB69488
PHI:252	NULL	EAK98810 
PHI:253	Entrez Protein	AAK27436
PHI:254	Entrez Protein	BAB85760
PHI:255	Entrez Protein	AAD43562
PHI:256	Entrez Protein	AAK52794
PHI:257	Entrez Protein	AAF74764
PHI:258	Entrez Protein	CAC40023
PHI:259	Entrez Protein	AAL83897
PHI:260	Entrez Protein	AAM15960
PHI:261	Entrez Protein	AAM89498
PHI:262	NULL	EAK94586 
PHI:263	Entrez Protein	AAL50116
PHI:264	Entrez Protein	AAN77869
PHI:265	Entrez Protein	AAL92174
PHI:266	Entrez Protein	AAM13670
PHI:266	Entrez Protein	AAM13670
PHI:266	Entrez Protein	AAM13670
PHI:266	Entrez Protein	AAM13670
PHI:266	Entrez Protein	AAM13670
PHI:267	Entrez Protein	AAD51594
PHI:268	Entrez Protein	AAL27626
PHI:269	Entrez Protein	AAO19639
PHI:270	Entrez Protein	BAA24262
PHI:271	Entrez Protein	AAC12872
PHI:272	Entrez Protein	AAL09436
PHI:273	Entrez Protein	AAD33888
PHI:274	Entrez Protein	AAM22494
PHI:275	Entrez Protein	AAM22475
PHI:276	Entrez Protein	CAA54909
PHI:277	Entrez Protein	AAQ16572
PHI:277	Entrez Protein	AAQ16572
PHI:278	Entrez Protein	CAC29255
PHI:278	Entrez Protein	CAC29255
PHI:278	Entrez Protein	CAC29255
PHI:278	Entrez Protein	CAC29255
PHI:278	Entrez Protein	CAC29255
