PHI:I259	PHI:266	Fusarium ear blight
PHI:I260	PHI:266	Fusarium ear blight
PHI:I262	PHI:268	Rice blast
PHI:I263	PHI:269	Corn smut
PHI:I270	PHI:276	Grey mold rot
PHI:I271	PHI:277	Grey mold rot
PHI:I272	PHI:277	Grey mold rot
PHI:I273	PHI:278	Grey mold rot
PHI:I274	PHI:278	Grey mold rot
PHI:I275	PHI:278	Grey mold rot
PHI:I281	PHI:285	Vascular wilt
PHI:I282	PHI:285	Vascular wilt
PHI:I284	PHI:287	Anthracnose
PHI:I289	PHI:293	Leaf blight
PHI:I290	PHI:294	Anthracnose
PHI:I291	PHI:295	Leaf blight
PHI:I292	PHI:296	Maize grey leaf spot
PHI:I293	PHI:300	Vascular wilt
PHI:I294	PHI:301	Vascular wilt
PHI:I295	PHI:301	Vascular wilt
PHI:I297	PHI:304	Fusarium ear blight
PHI:I298	PHI:305	Rice blast
PHI:I300	PHI:307	Corn smut
PHI:I301	PHI:308	Corn smut
PHI:I302	PHI:309	Fusarium ear blight
PHI:I303	PHI:309	Fusarium ear blight
PHI:I304	PHI:309	Fusarium ear blight
PHI:I305	PHI:310	Septoria leaf blotch
PHI:I306	PHI:311	Rice blast
PHI:I308	PHI:314	White mold/stem rot
PHI:I309	PHI:314	White mold/stem rot
PHI:I310	PHI:315	Vascular wilt
PHI:I311	PHI:315	Vascular wilt
PHI:I312	PHI:316	Late blight
PHI:I316	PHI:319	Corn smut
PHI:I319	PHI:322	Rice blast
PHI:I320	PHI:323	Mycopathogen
PHI:I322	PHI:325	Rice blast
PHI:I324	PHI:328	Downy mildew
PHI:I325	PHI:329	Grey mold rot
PHI:I326	PHI:329	Grey mold rot
PHI:I327	PHI:329	Grey mold rot
PHI:I328	PHI:329	Grey mold rot
PHI:I330	PHI:332	Anthracnose
PHI:I332	PHI:334	Leaf blight
PHI:I334	PHI:336	Vascular wilt
PHI:I335	PHI:337	Vascular wilt
PHI:I336	PHI:338	Corn smut
PHI:I337	PHI:339	Anthracnose
PHI:I339	PHI:341	Anthracnose
PHI:I340	PHI:342	Chesnut blight
PHI:I341	PHI:343	Chesnut blight
PHI:I342	PHI:344	Ergot
PHI:I344	PHI:346	Corn smut
PHI:I346	PHI:350	Rice blast
PHI:I347	PHI:352	Corn smut
PHI:I348	PHI:353	Glume blotch
PHI:I350	PHI:355	Fusarium ear blight
PHI:I351	PHI:356	Rice blast
PHI:I360	PHI:365	Glume blotch
PHI:I361	PHI:366	Rice blast
PHI:I362	PHI:366	Rice blast
PHI:I363	PHI:367	Corn smut
PHI:I365	PHI:369	Late blight
PHI:I372	PHI:375	Vascular wilt
PHI:I377	PHI:379	Vascular wilt
PHI:I379	PHI:382	Corn smut
PHI:I382	PHI:385	Mycopathogen
PHI:I385	PHI:389	Corn smut
PHI:I388	PHI:393	Ergot
PHI:I389	PHI:394	Corn smut
PHI:I390	PHI:395	Vascular wilt
PHI:I395	PHI:402	Corn smut
PHI:I396	PHI:404	Rice blast
PHI:I397	PHI:405	Rice blast
PHI:I398	PHI:406	Corn smut
PHI:I399	PHI:407	Light leaf spot
PHI:I402	PHI:411	Corn smut
PHI:I403	PHI:412	Leaf blight
PHI:I404	PHI:413	Glume blotch
PHI:I405	PHI:414	Glume blotch
PHI:I406	PHI:416	Leaf blight
PHI:I407	PHI:416	Leaf blight
PHI:I408	PHI:417	Rice blast
PHI:I409	PHI:418	Rice blast
PHI:I420	PHI:429	Anthracnose
PHI:I423	PHI:432	Fusarium ear blight
PHI:I424	PHI:432	Fusarium ear blight
PHI:I429	PHI:438	Grey mold rot
PHI:I430	PHI:438	Grey mold rot
PHI:I431	PHI:439	Fusarium ear blight
PHI:I433	PHI:448	Glume blotch
PHI:I446	PHI:458	Rice blast
PHI:I447	PHI:459	Barley smut
PHI:I451	PHI:464	Corn smut
PHI:I452	PHI:465	Corn smut
PHI:I453	PHI:466	Corn smut
PHI:I454	PHI:467	Chesnut blight
PHI:I456	PHI:469	Leaf spot
PHI:I459	PHI:472	Leaf mold
PHI:I460	PHI:473	Late blight
PHI:I465	PHI:478	Corn smut
PHI:I466	PHI:479	Respiratory disease
PHI:I470	PHI:483	Vascular wilt
PHI:I471	PHI:483	Vascular wilt
PHI:I472	PHI:483	Vascular wilt
PHI:I473	PHI:483	Vascular wilt
PHI:I474	PHI:483	Vascular wilt
PHI:I475	PHI:483	Vascular wilt
PHI:I476	PHI:483	Vascular wilt
PHI:I483	PHI:490	Vascular wilt
PHI:I485	PHI:492	Grey mold rot
PHI:I486	PHI:492	Grey mold rot
PHI:I491	PHI:499	Late blight
PHI:I500	PHI:508	Black spot
PHI:I501	PHI:508	Black spot
PHI:I502	PHI:509	Black spot
PHI:I503	PHI:509	Black spot
PHI:I510	PHI:515	Corn smut
PHI:I514	PHI:518	Rice blast
PHI:I515	PHI:519	Rice blast
PHI:I519	PHI:524	Corn smut
PHI:I520	PHI:524	Corn smut
PHI:I521	PHI:526	Corn smut
PHI:I524	PHI:528	Corn smut
PHI:I525	PHI:529	Leaf mold
PHI:I526	PHI:530	Root rot
PHI:I527	PHI:531	Downy mildew
PHI:I528	PHI:532	Flax rust
PHI:I529	PHI:532	Flax rust
PHI:I530	PHI:533	Flax rust
PHI:I531	PHI:533	Flax rust
PHI:I532	PHI:534	Tan spot
PHI:I533	PHI:535	Flax rust
